SEASON,HOME_GAMES,HOME_WINS,AWAY_WINS,AVG_HOME_PTS,AVG_AWAY_PTS,HOME_WIN_PCT,AWAY_WIN_PCT
2003,1385,800,585,94.90746500777605,91.09253499222395,0.5776173285198556,0.4223826714801444
2004,1362,824,538,98.60499265785609,95.38179148311306,0.604992657856094,0.39500734214390604
2005,1432,866,566,98.40642458100558,95.17248603351955,0.6047486033519553,0.3952513966480447
2006,1419,839,580,99.8491895701198,96.94432699083862,0.591261451726568,0.408738548273432
2007,1411,862,549,101.27356484762579,97.54925584691708,0.6109142452161588,0.3890857547838412
2008,1425,857,568,100.92280701754386,97.90385964912281,0.6014035087719298,0.39859649122807017
2009,1424,857,567,101.65449438202248,98.74578651685393,0.6018258426966292,0.3981741573033708
2010,1422,871,551,100.75668073136427,97.38466947960619,0.6125175808720112,0.38748241912798875
2011,1104,656,448,97.39221014492753,94.42934782608695,0.5942028985507246,0.4057971014492754
2012,1420,872,548,99.38169014084507,96.11408450704225,0.6140845070422535,0.38591549295774646
2013,1427,819,608,101.73510861948142,99.26138752627891,0.5739313244569026,0.4260686755430974
2014,1418,816,602,101.09520451339915,98.81523272214386,0.5754583921015515,0.4245416078984485
2015,1416,841,575,103.71257062146893,100.76483050847457,0.5939265536723164,0.4060734463276836
2016,1405,816,589,106.91601423487545,103.80569395017794,0.5807829181494661,0.4192170818505338
2017,1382,805,577,107.21997105643995,104.92547033285094,0.5824891461649783,0.41751085383502173
2018,1378,810,568,112.30188679245283,109.56531204644412,0.5878084179970973,0.41219158200290273
2019,1241,666,575,112.27477840451249,110.46655922643029,0.5366639806607575,0.46333601933924257
2020,1220,681,568,112.37550040032026,111.23779023218574,0.5581967213114755,0.46557377049180326
2021,1389,768,621,111.1979841612671,109.21670266378689,0.5529157667386609,0.4470842332613391
2022,542,319,223,114.28413284132841,111.2380073800738,0.5885608856088561,0.4114391143911439
