SEASON,PLAYER_ID,PLAYER_NAME,GAMES_PLAYED,TOTAL_PTS,TOTAL_AST,TOTAL_REB,FGM,FGA,FG3M,FG3A,FTM,FTA,PTS_PER_GAME,FG_PCT,FG3_PCT,FT_PCT
2003,15,Eric Piatkowski,51,214.0,26.0,76.0,76.0,201.0,45.0,129.0,17.0,20.0,4.196078431372549,0.3781094527363184,0.3488372093023256,0.85
2003,42,Monty Williams,1,2.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.25,,
2003,43,Chris Whitney,16,52.0,14.0,13.0,19.0,45.0,9.0,19.0,5.0,6.0,3.25,0.4222222222222222,0.47368421052631576,0.8333333333333334
2003,56,Gary Payton,104,1370.0,565.0,414.0,550.0,1210.0,69.0,221.0,201.0,280.0,13.173076923076923,0.45454545454545453,0.31221719457013575,0.7178571428571429
2003,57,Doug Christie,95,1001.0,396.0,405.0,375.0,836.0,62.0,175.0,189.0,220.0,10.536842105263158,0.4485645933014354,0.35428571428571426,0.8590909090909091
2003,63,Michael Smith,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2003,72,Kenny Anderson,48,266.0,126.0,82.0,115.0,263.0,1.0,4.0,35.0,48.0,5.541666666666667,0.4372623574144487,0.25,0.7291666666666666
2003,77,Doug Overton,62,234.0,140.0,89.0,104.0,252.0,3.0,24.0,23.0,31.0,3.774193548387097,0.4126984126984127,0.125,0.7419354838709677
2003,84,Latrell Sprewell,100,1732.0,358.0,389.0,648.0,1575.0,136.0,395.0,300.0,372.0,17.32,0.4114285714285714,0.34430379746835443,0.8064516129032258
2003,87,Dikembe Mutombo,68,370.0,25.0,447.0,143.0,301.0,0.0,0.0,84.0,122.0,5.4411764705882355,0.4750830564784053,,0.6885245901639344
2003,89,Nick Van Exel,39,490.0,206.0,104.0,187.0,479.0,46.0,150.0,70.0,99.0,12.564102564102564,0.3903966597077244,0.30666666666666664,0.7070707070707071
2003,93,Hubert Davis,17,4.0,4.0,8.0,1.0,11.0,0.0,1.0,2.0,2.0,0.23529411764705882,0.09090909090909091,0.0,1.0
2003,109,Robert Horry,91,453.0,110.0,335.0,161.0,391.0,49.0,130.0,82.0,121.0,4.978021978021978,0.4117647058823529,0.3769230769230769,0.6776859504132231
